	fecha	canal	tickets_aereos	barco_1	barco_2	otros_servicios
0	01/01/2023	Agencias				13.84368
1	01/01/2023	WS - FIT	0.0			32.52059
2	01/01/2023	WS - Other				16.44274
3	02/01/2023	Agencias	17.750460000000004		91.30333999999999	68.02157000000001
4	02/01/2023	WS - FIT	21.293010000000002		51.709289999999996	16.67878
5	02/01/2023	WS - Other				3.97976
6	03/01/2023	Agencias	5.33122			3.6348000000000003
7	03/01/2023	WS - FIT	12.6012		15.24536	35.82149999999999
8	04/01/2023	Agencias	1.07104			1.762
9	04/01/2023	WS - FIT				3.4514400000000007
10	05/01/2023	WS - FIT	1.60656			5.8072
11	06/01/2023	Agencias	2.47214		2.95714	12.998179999999998
12	06/01/2023	WS - FIT	2.87507		22.875	3.284
13	07/01/2023	Agencias	1.07104		20.73825	11.186860000000001
14	07/01/2023	Charter	17.44348	152.5771		1.43975
15	07/01/2023	WS - FIT	7.432490000000001		54.00373	21.324499999999993
16	08/01/2023	Agencias	2.70275		31.88292	7.5906
17	08/01/2023	WS - FIT	3.2433		26.635199999999998	5.414059999999999
18	08/01/2023	WS - Other				8.72508
19	09/01/2023	WS - FIT	8.550370000000001	57.835699999999996	8.4645	14.807290000000005
20	09/01/2023	WS - Other	0.0			35.99373
21	10/01/2023	WS - FIT	0.0			12.50525
22	11/01/2023	WS - FIT	1.11452	6.3		5.85735
23	12/01/2023	WS - FIT	2.1622		21.003	8.292
24	13/01/2023	Agencias	0.8011800000000001	11.439		0.12096000000000001
25	13/01/2023	WS - FIT	3.78385	22.686040000000002		11.008550000000001
26	13/01/2023	WS - Other	17.2976	98.97919999999999		5.55882
27	14/01/2023	WS - FIT	0.6416600000000001	4.3654399999999995		10.7869
28	14/01/2023	WS - Other	1.11452			20.69428
29	16/01/2023	Agencias	0.0			4.0751
30	16/01/2023	WS - FIT	3.00121		14.67322	1.288
31	16/01/2023	WS - Other				0.974
32	17/01/2023	Agencias	3.41272		45.369	4.65758
33	17/01/2023	WS - FIT				0.6935
34	17/01/2023	WS - Other				18.155939999999998
35	18/01/2023	WS - FIT	0.0			10.18282
36	18/01/2023	WS - Other	9.212159999999999			38.0304
37	19/01/2023	Agencias	1.711			6.95196
38	19/01/2023	WS - FIT	0.0			15.400160000000001
39	20/01/2023	Agencias	2.22904		22.572	2.37298
40	20/01/2023	Charter	19.86446	150.9408		1.5795
41	20/01/2023	WS - FIT	6.50685		50.54567	34.134149999999984
42	21/01/2023	Agencias				8.95888
43	21/01/2023	WS - FIT	1.47024		8.4645	10.152199999999999
44	21/01/2023	WS - Other	1.65507		5.994800000000001	10.502759999999999
45	22/01/2023	Agencias	0.0		5.657139999999999	10.2802
46	22/01/2023	WS - FIT				1.83
47	23/01/2023	WS - FIT				53.12857999999999
48	23/01/2023	WS - Other				38.70773
49	24/01/2023	WS - FIT				2.3285
50	25/01/2023	Charter	25.3387	101.62		45.99374
51	25/01/2023	WS - FIT	0.807			6.7802
52	26/01/2023	Agencias	3.2433		18.29	0.0
53	26/01/2023	WS - FIT	2.19562		31.097800000000003	3.3775999999999997
54	26/01/2023	WS - Other				7.07886
55	27/01/2023	Agencias	2.1622		25.951199999999996	4.1147800000000005
56	27/01/2023	WS - FIT	1.11452		11.34225	7.127350000000001
57	28/01/2023	Agencias				0.7392000000000001
58	28/01/2023	WS - FIT	1.0988200000000001		4.482279999999999	7.702150000000002
59	29/01/2023	Agencias	1.56			13.3023
60	29/01/2023	Charter	24.482680000000002	101.62		26.815140000000007
61	29/01/2023	WS - FIT	1.90723			13.37903
62	30/01/2023	Agencias	1.0811		11.286	1.0264000000000002
63	30/01/2023	WS - FIT	1.68658		14.620869999999998	28.021200000000004
64	31/01/2023	Agencias	0.546		1.1285999999999998	8.846
65	31/01/2023	WS - FIT	1.56			17.693200000000004
66	31/01/2023	WS - Other				15.899659999999999
67	01/02/2023	WS - FIT	0.532			8.35818
68	01/02/2023	WS - Other				20.209659999999996
69	02/02/2023	Agencias				7.66324
70	02/02/2023	WS - FIT				1.7170499999999997
71	03/02/2023	Agencias	1.62165		11.54528	1.0896
72	03/02/2023	Charter	21.396759999999997	150.9408		1.47775
73	03/02/2023	WS - FIT	1.6428399999999999		1.92857	5.0375
74	03/02/2023	WS - Other	3.30612		22.48171	21.319860000000002
75	04/02/2023	Agencias	2.2504800000000005		24.035	3.33698
76	04/02/2023	WS - FIT	0.52			13.091630000000002
77	05/02/2023	WS - FIT				0.28
78	06/02/2023	Agencias	1.08942		0.329	0.271
79	06/02/2023	WS - FIT	0.0		7.101	4.10991
80	06/02/2023	WS - Other				41.26272999999999
81	07/02/2023	Agencias				1.0985999999999998
82	07/02/2023	WS - FIT	1.064			14.14006
83	08/02/2023	Agencias				7.31854
84	08/02/2023	Charter	25.66872	101.62		42.08278000000001
85	08/02/2023	WS - FIT	0.532			7.0786
86	08/02/2023	WS - Other	8.6488			36.710409999999996
87	09/02/2023	WS - FIT	1.6663000000000001		10.924	9.79665
88	09/02/2023	WS - Other	1.1361199999999998		9.5304	8.9269
89	10/02/2023	WS - FIT	1.57308	7.75886	11.34225	2.7818899999999993
90	10/02/2023	WS - Other	10.08076		104.56216	8.38914
91	11/02/2023	Agencias	0.55102			5.179399999999999
92	11/02/2023	WS - FIT	3.8784399999999994	6.5745		30.430000000000003
93	12/02/2023	WS - FIT	1.75024	6.5745		15.398550000000006
94	13/02/2023	WS - FIT	3.72489	6.5745	16.581139999999998	18.015700000000006
95	13/02/2023	WS - Other	0.0			8.19802
96	14/02/2023	Agencias	5.946749999999999		16.956	14.253039999999995
97	14/02/2023	WS - FIT				7.793249999999999
98	14/02/2023	WS - Other	1.0988200000000001		7.4935	18.119259999999997
99	15/02/2023	Agencias	1.09182		11.286	3.9252
100	15/02/2023	WS - Other				15.257700000000002
101	16/02/2023	Agencias	2.20277		30.246	8.1156
102	16/02/2023	WS - FIT	1.91924			17.679730000000006
103	17/02/2023	Agencias				0.9072
104	17/02/2023	Charter	19.513339999999996	150.9408		1.26525
105	17/02/2023	WS - FIT	3.2642399999999996		24.849	0.082
106	17/02/2023	WS - Other	3.85858		38.11539	0.02
107	18/02/2023	WS - FIT	0.0		3.21429	2.5747
108	18/02/2023	WS - Other				7.14578
109	19/02/2023	Agencias	1.21069			2.9988
110	19/02/2023	WS - FIT	2.78652		14.939	13.389580000000002
111	19/02/2023	WS - Other	0.0			49.8736
112	20/02/2023	WS - FIT				5.1262099999999995
113	20/02/2023	WS - Other				30.201049999999995
114	21/02/2023	Charter	18.18366	101.62		37.19312000000001
115	21/02/2023	WS - FIT				1.18144
116	21/02/2023	WS - Other				28.02753
117	22/02/2023	WS - FIT	0.248			8.2861
118	23/02/2023	WS - FIT	5.936		42.04739	21.87535
119	24/02/2023	WS - FIT	2.2001		10.88856	39.91054999999999
120	24/02/2023	WS - Other	1.10204			8.833300000000001
121	25/02/2023	Agencias				9.71711
122	25/02/2023	WS - FIT	1.0830199999999999		10.665	5.826029999999999
123	25/02/2023	WS - Other				10.5007
124	26/02/2023	Charter	21.48978	101.62		38.39951000000001
125	26/02/2023	WS - FIT				20.843650000000004
126	26/02/2023	WS - Other				11.06042
127	27/02/2023	Agencias	0.0		7.55357	
128	27/02/2023	WS - FIT	1.9983600000000001		6.42857	0.328
129	27/02/2023	WS - Other	1.1361199999999998		7.083	15.6235
130	28/02/2023	WS - FIT	2.27031		19.80675	12.071400000000008
131	01/03/2023	Agencias	1.12524			6.810680000000001
132	01/03/2023	WS - FIT				0.592
133	01/03/2023	WS - Other				0.0
134	02/03/2023	Agencias				1.4225199999999998
135	02/03/2023	WS - FIT	5.479959999999999	28.1955	7.8375	6.6770499999999995
136	03/03/2023	Agencias	1.35			24.703
137	03/03/2023	WS - FIT	3.15656	8.78951	20.70759	12.42692
138	04/03/2023	Agencias	1.63683		11.989	1.4710599999999998
139	04/03/2023	WS - FIT	0.572			26.641230000000004
140	04/03/2023	WS - Other				8.79014
141	05/03/2023	Agencias	3.3729199999999997		22.572	12.238680000000002
142	05/03/2023	WS - FIT				2.8818
143	06/03/2023	WS - FIT	1.64652		8.0965	7.258500000000001
