Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,23.7146427,19.18930861,12.20715893,14.64646238,17.24833362,-1.652954196,13.10423217,2.917363693,15.34510614,11.17491343,4.648618754,-1.240147758,5.750847588,6.98215053,10.71005339,14.98839958,15.52923708,14.31095118,12.33873062,16.72200639,4.655720192,13.46126182,20.88971941,
AFE,,,20.66876003,20.79487631,22.48814196,23.09713534,23.99036582,23.82005518,22.35357392,18.4691424,20.87992515,21.17127186,18.2804231,17.72979575,17.86920618,16.66557535,17.47078282,17.58792912,17.44086212,18.74800906,18.76115874,21.00145497,20.28592683,
AFG,,,,,,,,,,,,,,,,,,,,,-2.737769441,,,
AFW,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,28.87681625,26.05546133,33.53600551,41.18765335,43.45458359,41.49897023,38.65885864,27.65787363,36.9873386,37.88854984,37.23299841,31.9785712,29.85796511,24.81755493,24.01749017,23.09966944,25.09992382,32.10299532,28.06598155,38.29084767,36.60326973,30.17871709
ALB,25.89134918,28.92521879,25.51671658,26.25826888,29.38483682,30.10649462,29.0689429,23.95429313,17.73092403,17.33589683,19.96761667,20.54545899,19.62510087,17.741292,15.92938749,16.86397944,17.04907325,16.52937175,16.54715996,14.39660845,13.4131245,17.15063089,18.42036968,17.75911608
AND,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,41.6863907,43.21949864,42.77877901,45.36259621,32.29122021,37.37074434,41.33065215,39.94220898,37.71406696,33.7283356,24.58036856,24.18885909,28.05177792,31.37147776,29.54598189,22.76299096,28.46677507,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,
ARG,14.3684377,14.21407282,21.34317688,21.73453301,13.78283487,13.70860973,21.41722954,22.23144417,21.1268024,18.3213663,17.33185579,17.33321655,16.20994513,15.19446637,15.90902761,14.3058273,14.62225497,13.06884858,11.39391541,13.69079544,15.01213532,19.54182083,17.4911319,15.12142697
ARM,-0.92701688,5.411983631,10.24540583,16.34181182,19.7148351,24.30731792,28.54483303,28.60069263,27.90492035,14.04755666,13.20076305,11.09572276,14.09673279,14.83671978,13.28125722,18.45377743,17.87496536,17.17845791,15.55357577,10.22162316,15.70672187,19.60923874,20.06652643,19.17896607
ASM,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,
AUS,21.19590796,20.7475782,21.77997995,21.08294055,21.52108395,20.980012,21.65708048,21.36062346,21.89333971,23.996968,21.78420058,23.2399699,24.28835275,23.89355987,23.57955585,22.65198716,20.70524488,21.796346,21.70458901,22.34172669,23.69555032,25.77128493,25.41169608,24.81177276
AUT,,,,,,26.05662848,26.7359484,28.18983077,28.7013518,24.83952731,25.82489473,26.09453033,25.77511764,25.48416116,25.98613123,25.65331339,27.11891832,26.34263296,26.76976829,27.83472653,29.21458049,29.31417628,27.56549755,27.05366709
AZE,20.0314553,23.66310648,22.71172854,26.03147235,27.54255759,39.70422683,45.08448393,45.36463669,49.94312191,40.36763552,44.73031565,46.79376664,44.2703392,42.75954442,40.74665304,28.12190501,22.60014842,29.02570834,32.14957553,28.57354797,23.56898183,32.53152006,42.05198776,29.81595953
BDI,1.32796785,1.489883647,4.200173483,6.755630908,6.587317715,15.34942446,8.007473853,7.337433566,-1.504730952,9.854534026,3.213134338,1.951730318,10.8824793,3.932523024,-0.50076352,12.12644067,7.257584592,7.378705279,5.517801067,9.661647325,10.64926035,12.5667161,9.97861939,11.00704759
BEL,,,26.37176775,26.22422856,27.19434758,27.31682217,27.84800097,28.77958487,27.42734119,25.00273586,25.35129213,23.50064483,24.73158925,24.23411184,24.57712336,25.00867822,24.81696636,25.15490744,24.49856226,25.1048784,25.59774212,26.99131072,26.01839817,25.20699658
BEN,12.68387917,13.27892181,13.61328875,11.366391,13.25686578,12.19092972,12.46486564,14.04519041,12.64174075,11.45438675,11.38726242,12.125649,13.53316774,16.28315595,18.60217876,13.86203005,17.40228943,17.39915461,19.63660537,21.71952965,21.31082492,23.40327282,28.9615668,
BFA,,,,,,5.853700031,6.313850631,10.16890261,9.604478155,11.49202764,15.8387096,17.4955996,18.06330139,14.39043325,13.38918106,11.85934407,13.45074892,14.78649846,17.10798054,16.84415958,20.55645546,17.06263363,15.03317697,
BGD,27.79745769,28.42229043,30.74917643,30.1645967,31.57740067,32.35940724,35.34119099,36.31746258,37.38187779,38.97639389,38.78177386,38.05948974,40.59957949,39.74538772,37.77923222,36.73095603,37.28029922,35.28520314,35.45903952,36.35360241,37.18886621,36.05117425,33.94946441,34.90435988
