fecha,hora,emisiones_co
43466,0,0.98
43466,1,0.83
43466,2,0.57
43466,3,0.37
43466,4,0.28
43466,5,0.23
43466,6,0.22
43466,7,0.19
43466,8,0.15
43466,9,0.09
43466,10,0.09
43466,11,0.13
43466,12,0.15
43466,13,0.14
43466,14,0.11
43466,15,0.12
43466,16,0.13
43466,17,0.19
43466,18,0.29
43466,19,0.32
43466,20,0.3
43466,21,0.26
43466,22,0.22
43466,23,0.21
43467,0,0.18
43467,2,0.1
43467,3,0.08
43467,4,0.15
43467,5,0.29
43467,6,0.5
43467,7,0.58
43467,8,0.32
43467,9,0.14
43467,10,0.11
43467,11,0.17
43467,12,0.25
43467,13,0.24
43467,14,0.2
43467,15,0.22
43467,16,0.24
43467,17,0.27
43467,18,0.34
43467,19,0.46
43467,20,0.64
43467,21,0.44
43467,22,0.31
43467,23,0.18
43468,0,0.12
43468,1,0.16
43468,2,0.18
43468,3,0.23
43468,4,0.24
43468,5,0.33
43468,6,0.86
43468,7,0.85
43468,8,0.45
43468,9,0.19
43468,10,0.23
43468,11,0.27
43468,12,0.27
43468,13,0.24
43468,14,0.24
43468,15,0.31
43468,16,0.31
43468,17,0.3
43468,18,0.5
43468,19,0.57
43468,20,0.65
43468,21,0.45
43468,22,0.57
43468,23,0.32
43469,0,0.46
43469,2,0.43
43469,3,0.64
43469,4,0.72
43469,5,0.46
43469,6,1.7
43469,7,1.68
43469,8,0.63
43469,9,0.28
43469,10,0.27
43469,11,0.3
43469,12,0.24
43469,13,0.22
43469,15,0.21
43469,16,0.33
43469,17,0.37
43469,18,0.55
43469,19,0.58
43469,20,0.54
43469,21,0.59
43469,22,0.54
43469,23,0.38
43470,0,0.42
43470,1,0.56
43470,2,0.51
43470,3,1.01
43470,4,1.78
43470,5,0.56
43470,6,0.84
43470,7,0.54
43470,8,0.45
43470,9,0.27
43470,10,0.31
43470,11,0.32
43470,12,0.31
43470,13,0.36
43470,14,0.4
43470,15,0.38
43470,16,0.42
43470,17,0.5
43470,18,0.56
43470,19,0.9
43470,20,0.88
43470,21,0.8
43470,22,0.93
43470,23,0.93
43471,0,0.55
43471,2,0.32
43471,3,0.37
43471,4,0.41
43471,5,0.53
43471,6,0.9
43471,7,0.92
43471,8,0.54
43471,9,0.45
43471,10,0.4
43471,11,0.46
43471,12,0.5
43471,13,0.69
43471,14,0.67
43471,15,0.77
43471,16,1.01
43471,17,1.2
43471,18,1.37
43471,19,1.19
43471,20,1.23
43471,21,0.96
43471,22,0.79
43471,23,0.6
43472,0,0.72
43472,1,0.72
43472,2,0.67
43472,3,0.6
43472,4,0.49
43472,5,0.5
43472,6,1.1
43472,7,1.76
43472,8,1.81
43472,9,1.12
43472,10,0.98
43472,11,0.88
43472,12,0.56
43472,13,0.7
43472,14,0.66
43472,15,0.82
43472,16,0.87
43472,17,0.77
43472,18,0.85
43472,19,0.91
43472,20,1
43472,21,1.46
43472,22,1.17
43472,23,1.04
43473,0,0.69
43473,2,0.42
43473,3,0.39
43473,4,0.41
43473,5,0.46
43473,6,0.64
43473,7,1
43473,8,1.29
43473,9,1.09
43473,10,0.9
43473,11,0.78
43473,12,1.17
43473,13,0.91
43473,14,0.8
43473,15,0.73
43473,16,0.69
43473,17,0.74
43473,18,0.77
43473,19,0.7
43473,20,1.02
43473,21,1.45
43473,22,1.2
43473,23,0.69
43474,0,0.53
43474,1,0.49
43474,2,0.5
43474,3,0.54
43474,4,0.57
43474,5,0.63
43474,6,1.99
43474,7,2.86
43474,8,2.24
43474,9,1.82
43474,10,1.44
43474,11,1.16
43474,12,0.57
43474,13,0.81
43474,14,0.72
43474,15,0.64
43474,16,0.62
43474,17,0.63
43474,18,0.68
43474,19,0.85
43474,20,0.9
43474,21,0.75
43474,22,0.63
43474,23,0.57
43475,0,0.56
43475,2,0.44
43475,3,0.42
43475,4,0.44
43475,5,0.47
43475,6,0.76
43475,7,1.09
43475,8,1
43475,9,0.92
43475,10,0.84
43475,12,0.45
43475,13,0.59
43475,14,0.49
43475,15,0.29
43475,16,0.35
43475,17,0.42
43475,18,0.29
43475,19,0.63
43475,20,0.41
43475,21,0.44
43475,22,0.84
43475,23,0.41
43476,0,0.22
43476,1,0.13
43476,2,0.19
43476,3,0.14
43476,4,0.12
43476,5,0.2
43476,6,0.87
43476,7,1.1
43476,8,0.93
43476,9,0.66
43476,10,0.58
43476,11,0.52
43476,12,0.51
43476,13,0.44
43476,14,0.51
43476,15,0.24
43476,16,0.25
43476,17,0.33
43476,18,0.46
43476,19,0.54
43476,20,0.33
43476,21,0.39
43476,22,0.58
43476,23,0.65
43477,0,0.59
43477,2,0.32
43477,3,0.34
43477,4,0.37
43477,5,0.52
43477,6,0.29
43477,7,0.45
43477,8,0.42
43477,9,0.48
43477,10,0.47
43477,11,0.43
43477,12,0.35
43477,13,0.28
43477,14,0.31
43477,15,0.35
43477,16,0.33
43477,17,0.37
43477,18,0.43
43477,19,0.42
43477,20,0.42
43477,21,0.55
43477,22,0.34
43477,23,0.29
43478,0,0.21
43478,1,0.23
43478,2,0.25
43478,3,0.21
43478,4,0.2
43478,5,0.23
43478,6,0.38
43478,7,0.43
43478,8,0.35
43478,9,0.32
43478,10,0.35
43478,11,0.39
43478,12,0.31
43478,13,0.31
43478,14,0.27
43478,15,0.43
43478,16,0.53
43478,17,0.74
43478,18,0.51
43478,19,0.5
43478,20,0.59
43478,21,0.58
43478,22,0.28
43478,23,0.21
43479,0,0.18
43479,2,0.13
43479,3,0.13
43479,4,0.16
43479,5,0.47
43479,6,1.03
43479,7,1.63
43479,8,0.88
43479,9,0.39
43479,10,0.34
43479,11,0.34
43479,12,0.38
43479,13,0.46
43479,14,0.41
43479,15,0.46
43479,16,0.4
43479,17,0.44
43479,18,0.8
43479,19,0.9
43479,20,1.04
43479,21,0.63
43479,22,0.59
43479,23,0.7
43480,0,0.65
43480,1,0.55
43480,2,0.39
43480,3,0.43
43480,4,0.54
43480,5,0.64
43480,6,1.22
43480,7,1.39
43480,8,1.58
43480,9,1.16
43480,10,0.49
43480,11,0.4
43480,12,0.39
43480,13,0.32
43480,14,0.38
43480,15,0.44
43480,16,0.5
43480,17,0.75
43480,18,0.82
43480,19,0.92
43480,20,0.94
43480,21,1.16
43480,22,1.17
43480,23,0.92
43481,0,0.73
43481,2,0.49
43481,3,0.45
43481,4,0.52
43481,5,0.76
43481,6,1.35
43481,7,2.3
43481,8,1.82
43481,9,1.15
43481,10,1.15
43481,11,0.74
43481,12,0.44
